at.bxm.svntools,1.2,/m2/at/bxm/gradlepluginsgradle-svntools-plugin/1.2/gradle-svntools-plugin-1.2.jar
at.bxm.svntools,1.2.1,/m2/at/bxm/gradlepluginsgradle-svntools-plugin/1.2.1/gradle-svntools-plugin-1.2.1.jar
at.bxm.svntools,1.3,/m2/at/bxm/gradlepluginsgradle-svntools-plugin/1.3/gradle-svntools-plugin-1.3.jar
at.bxm.svntools,1.3.1,/m2/at/bxm/gradlepluginsgradle-svntools-plugin/1.3.1/gradle-svntools-plugin-1.3.1.jar
at.bxm.svntools,1.4,/m2/at/bxm/gradlepluginsgradle-svntools-plugin/1.4/gradle-svntools-plugin-1.4.jar
at.bxm.svntools,1.5,/m2/at/bxm/gradlepluginsgradle-svntools-plugin/1.5/gradle-svntools-plugin-1.5.jar
at.bxm.svntools,1.6,/m2/at/bxm/gradlepluginsgradle-svntools-plugin/1.6/gradle-svntools-plugin-1.6.jar
at.comm_unity.gradle.plugins.jpamodelgen,1.1.0,/m2/gradle/plugin/at/comm_unity/gradle/pluginsjpamodelgen-plugin/1.1.0/jpamodelgen-plugin-1.1.0.jar
at.comm_unity.gradle.plugins.jpamodelgen,1.1.1,/m2/gradle/plugin/at/comm_unity/gradle/pluginsjpamodelgen-plugin/1.1.1/jpamodelgen-plugin-1.1.1.jar
at.rknoll.gradle.hardware,0.1-10,/m2/gradle/plugin/at/rknoll/gradlehardware/0.1-10/hardware-0.1-10.jar
at.rknoll.gradle.hardware,0.1-11,/m2/gradle/plugin/at/rknoll/gradlehardware/0.1-11/hardware-0.1-11.jar
at.rknoll.gradle.hardware,0.1-12,/m2/gradle/plugin/at/rknoll/gradlehardware/0.1-12/hardware-0.1-12.jar
at.rknoll.gradle.hardware,0.1-13,/m2/gradle/plugin/at/rknoll/gradlehardware/0.1-13/hardware-0.1-13.jar
at.rknoll.gradle.hardware,0.1-14,/m2/gradle/plugin/at/rknoll/gradlehardware/0.1-14/hardware-0.1-14.jar
at.rknoll.gradle.hardware,0.1-15,/m2/gradle/plugin/at/rknoll/gradlehardware/0.1-15/hardware-0.1-15.jar
at.rknoll.gradle.hardware,0.1-6,/m2/gradle/plugin/at/rknoll/gradlehardware/0.1-6/hardware-0.1-6.jar
at.rknoll.gradle.hardware,0.1-7,/m2/gradle/plugin/at/rknoll/gradlehardware/0.1-7/hardware-0.1-7.jar
at.rknoll.gradle.hardware,0.1-8,/m2/gradle/plugin/at/rknoll/gradlehardware/0.1-8/hardware-0.1-8.jar
at.rknoll.gradle.hardware,0.1-9,/m2/gradle/plugin/at/rknoll/gradlehardware/0.1-9/hardware-0.1-9.jar
at.rknoll.gradle.modelsimaltera,0.1-10,/m2/gradle/plugin/at/rknoll/gradlehardware/0.1-10/hardware-0.1-10.jar
at.rknoll.gradle.modelsimaltera,0.1-11,/m2/gradle/plugin/at/rknoll/gradlehardware/0.1-11/hardware-0.1-11.jar
at.rknoll.gradle.modelsimaltera,0.1-12,/m2/gradle/plugin/at/rknoll/gradlehardware/0.1-12/hardware-0.1-12.jar
at.rknoll.gradle.modelsimaltera,0.1-13,/m2/gradle/plugin/at/rknoll/gradlehardware/0.1-13/hardware-0.1-13.jar
at.rknoll.gradle.modelsimaltera,0.1-14,/m2/gradle/plugin/at/rknoll/gradlehardware/0.1-14/hardware-0.1-14.jar
at.rknoll.gradle.modelsimaltera,0.1-15,/m2/gradle/plugin/at/rknoll/gradlehardware/0.1-15/hardware-0.1-15.jar
